TE	D.destructor	S.moxae	D.dipsaci	D.weischeri	R.similis	H.carotae	H.schachtii	H.glycines	G.rostochiensis	G.elli	G.pallida	P.scribneri	M.graminicola	M.exigua	M.chitwoodi	M.hapla	M.enterolobii	M.floridensis	M.javanica	M.luci	M.arenaria	M.incognita	B.xylophilus	A.bicaudatus	A.besseyi	A.fujianensis
DNA	3.59955559098598	2.73319726510657	4.63127123460121	4.08389660272817	3.24402958903002	2.69019608002851	4.30222266631767	4.160318437984	2.18752072083646	3.46119828862249	2.26717172840301	4.2967090561756	2.52633927738984	2.83314711191279	3.51851393987789	0	3.58342550040651	3.12775251583297	3.49789674291322	3.55882852481701	3.02571538390134	4.12047521669653	3.28103336724773	0	0	1
DNA/Academ-1	1.75587485567249	0	0	0	0	0	0	0	0	0	3.33021078457153	2.89431606268444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/CMC-Chapaev	0	0	3.16316137497702	2.25767857486918	0	0	1.14612803567824	1.89209460269048	0	0	0	0	1.11394335230684	0	2.07918124604762	0	0	0	0	0	0	0	0	0	1.23044892137827	0
DNA/CMC-Chapaev-3	4.58865259815017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/CMC-EnSpm	3.64177147065396	3.05384642685225	3.87209797427423	3.73391915101239	0	2.8109042806687	2.89652621748956	3.23527587668705	2.75663610824585	2.61066016308988	2.71180722904119	4.01372177805106	0	0	2.98317507203781	0	0	0	3.5762261374496	2.88366143515362	3.26857797188284	0	0	0	1.96848294855394	0
DNA/CMC-Transib	2.04139268515822	0	0	0	0	2.74663419893758	4.12388429346001	4.87765348801671	3.06258198422816	3.45101845215546	1.69019608002851	0	0	0	2.46089784275655	0	0	0	2.62117628177503	0	0	0	0	0	0	0
DNA/Crypton-H	0	0	0	0	0	0	0	0	0	0	0	4.15124723746237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Crypton-S	0	0	0	0	0	0	0.778151250383644	0.698970004336019	1.94448267215017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41497334797082	0
DNA/Crypton-V	0	0	0	0	0	0	0	0	0	0	0	3.50119624202709	0	0	0	0	0	0	0	2.19589965240923	0	0	0	0	0	0
DNA/Dada	0	0	0	0	0	0	3.77691900284205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Ginger-1	0	0	0	0	0	0	0	0	0.602059991327962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Ginger-2	0	1.79934054945358	1.50514997831991	0.698970004336019	0	0	0	0	0	0	0	3.40840957846843	0	0	0	2.04139268515822	0	0	0	0	0	0	0	0	2.59439255037543	0
